Vardas	Pavarde	ND1	ND2	ND3	Egz.
Vardas207	Pavarde207	2	9	6	1
Vardas751	Pavarde751	1	4	10	1
Vardas509	Pavarde509	7	10	9	1
Vardas758	Pavarde758	3	9	4	1
Vardas507	Pavarde507	4	4	3	1
Vardas761	Pavarde761	10	5	2	1
Vardas765	Pavarde765	10	3	1	1
Vardas503	Pavarde503	9	4	2	1
Vardas96	Pavarde96	4	9	1	1
Vardas768	Pavarde768	7	7	5	1
Vardas502	Pavarde502	8	5	5	1
Vardas93	Pavarde93	2	2	5	1
Vardas200	Pavarde200	10	2	1	1
Vardas773	Pavarde773	9	7	8	1
Vardas87	Pavarde87	2	8	1	1
Vardas206	Pavarde206	1	4	9	1
Vardas512	Pavarde512	8	10	2	1
Vardas813	Pavarde813	6	6	9	1
Vardas472	Pavarde472	3	9	1	1
Vardas820	Pavarde820	8	2	5	1
Vardas459	Pavarde459	2	8	5	1
Vardas455	Pavarde455	10	7	5	1
Vardas454	Pavarde454	8	10	10	1
Vardas849	Pavarde849	9	6	2	1
Vardas852	Pavarde852	9	10	8	1
Vardas444	Pavarde444	9	6	9	1
Vardas856	Pavarde856	3	5	6	1
Vardas857	Pavarde857	10	6	2	1
Vardas858	Pavarde858	2	4	7	1
Vardas442	Pavarde442	7	7	8	1
Vardas63	Pavarde63	3	9	7	1
Vardas130	Pavarde130	9	9	2	1
Vardas150	Pavarde150	2	8	1	1
Vardas603	Pavarde603	1	10	5	1
Vardas148	Pavarde148	2	6	2	1
Vardas579	Pavarde579	9	9	3	1
Vardas575	Pavarde575	8	9	10	1
Vardas142	Pavarde142	4	5	2	1
Vardas161	Pavarde161	3	10	5	1
Vardas139	Pavarde139	8	4	2	1
Vardas629	Pavarde629	4	7	3	1
Vardas564	Pavarde564	7	2	4	1
Vardas632	Pavarde632	7	4	8	1
Vardas637	Pavarde637	6	2	2	1
Vardas559	Pavarde559	9	5	7	1
Vardas166	Pavarde166	8	1	9	1
Vardas167	Pavarde167	4	7	9	1
Vardas834	Pavarde834	2	7	1	1
Vardas658	Pavarde658	6	7	8	1
Vardas547	Pavarde547	9	6	1	1
Vardas545	Pavarde545	5	5	5	1
Vardas544	Pavarde544	10	6	1	1
Vardas682	Pavarde682	6	5	2	1
Vardas541	Pavarde541	4	2	3	1
Vardas529	Pavarde529	10	7	10	1
Vardas701	Pavarde701	8	7	3	1
Vardas707	Pavarde707	1	3	2	1
Vardas115	Pavarde115	5	4	10	1
Vardas189	Pavarde189	2	6	10	1
Vardas190	Pavarde190	1	1	3	1
Vardas513	Pavarde513	3	2	3	1
Vardas193	Pavarde193	8	3	6	1
Vardas395	Pavarde395	7	4	4	1
Vardas46	Pavarde46	4	7	1	1
Vardas271	Pavarde271	8	4	5	1
Vardas335	Pavarde335	1	6	3	1
Vardas907	Pavarde907	4	5	8	1
Vardas315	Pavarde315	9	6	5	1
Vardas316	Pavarde316	8	4	3	1
Vardas914	Pavarde914	10	3	10	1
Vardas42	Pavarde42	4	4	5	1
Vardas962	Pavarde962	3	1	2	1
Vardas918	Pavarde918	8	6	2	1
Vardas39	Pavarde39	6	3	1	1
Vardas273	Pavarde273	3	4	5	1
Vardas976	Pavarde976	4	9	2	1
Vardas394	Pavarde394	3	4	1	1
Vardas35	Pavarde35	9	6	9	1
Vardas327	Pavarde327	2	6	3	1
Vardas968	Pavarde968	1	8	5	1
Vardas373	Pavarde373	1	2	1	1
Vardas31	Pavarde31	1	2	9	1
Vardas30	Pavarde30	6	1	5	1
Vardas860	Pavarde860	5	7	4	1
Vardas255	Pavarde255	4	7	3	1
Vardas47	Pavarde47	10	9	8	1
Vardas3	Pavarde3	9	9	9	1
Vardas875	Pavarde875	10	6	8	1
Vardas288	Pavarde288	3	5	4	1
Vardas422	Pavarde422	2	10	4	1
Vardas419	Pavarde419	9	10	4	1
Vardas401	Pavarde401	10	5	7	1
Vardas356	Pavarde356	8	10	1	1
Vardas948	Pavarde948	5	4	9	1
Vardas361	Pavarde361	3	7	2	1
Vardas904	Pavarde904	5	6	9	1
Vardas6	Pavarde6	8	10	5	1
Vardas261	Pavarde261	9	7	5	1
Vardas992	Pavarde992	9	5	5	1
Vardas241	Pavarde241	5	2	2	1
Vardas50	Pavarde50	5	9	1	1
Vardas991	Pavarde991	4	5	2	1
Vardas275	Pavarde275	5	1	8	1
Vardas48	Pavarde48	6	8	3	1
Vardas543	Pavarde543	8	9	3	2
Vardas352	Pavarde352	10	7	10	2
Vardas540	Pavarde540	4	3	2	2
Vardas514	Pavarde514	8	2	3	2
Vardas548	Pavarde548	7	4	9	2
Vardas556	Pavarde556	4	3	10	2
Vardas323	Pavarde323	2	3	4	2
Vardas563	Pavarde563	9	9	6	2
Vardas303	Pavarde303	3	8	9	2
Vardas568	Pavarde568	4	10	1	2
Vardas573	Pavarde573	1	4	1	2
Vardas578	Pavarde578	1	7	3	2
Vardas294	Pavarde294	4	7	9	2
Vardas600	Pavarde600	3	4	10	2
Vardas284	Pavarde284	3	4	2	2
Vardas494	Pavarde494	3	1	2	2
Vardas440	Pavarde440	10	4	4	2
Vardas437	Pavarde437	4	7	2	2
Vardas230	Pavarde230	1	5	3	2
Vardas447	Pavarde447	8	2	10	2
Vardas238	Pavarde238	2	10	3	2
Vardas239	Pavarde239	3	9	2	2
Vardas462	Pavarde462	5	1	10	2
Vardas2	Pavarde2	10	10	8	2
Vardas463	Pavarde463	5	1	6	2
Vardas474	Pavarde474	9	3	6	2
Vardas477	Pavarde477	1	10	1	2
Vardas397	Pavarde397	6	4	9	2
Vardas487	Pavarde487	4	3	4	2
Vardas491	Pavarde491	5	6	3	2
Vardas493	Pavarde493	1	6	3	2
Vardas353	Pavarde353	10	8	10	2
Vardas396	Pavarde396	7	7	8	2
Vardas199	Pavarde199	9	3	7	2
Vardas244	Pavarde244	3	7	10	2
Vardas246	Pavarde246	9	3	10	2
Vardas391	Pavarde391	4	1	5	2
Vardas388	Pavarde388	7	5	5	2
Vardas368	Pavarde368	10	9	1	2
Vardas516	Pavarde516	3	9	2	2
Vardas187	Pavarde187	3	3	6	2
Vardas186	Pavarde186	5	3	10	2
Vardas524	Pavarde524	5	10	2	2
Vardas526	Pavarde526	2	3	5	2
Vardas362	Pavarde362	9	6	2	2
Vardas182	Pavarde182	8	7	7	2
Vardas33	Pavarde33	3	8	10	2
Vardas950	Pavarde950	3	4	1	2
Vardas114	Pavarde114	5	8	3	2
Vardas25	Pavarde25	7	8	3	2
Vardas723	Pavarde723	8	8	10	2
Vardas27	Pavarde27	6	7	9	2
Vardas729	Pavarde729	10	2	2	2
Vardas732	Pavarde732	4	1	8	2
Vardas745	Pavarde745	6	3	10	2
Vardas757	Pavarde757	7	9	1	2
Vardas759	Pavarde759	5	2	6	2
Vardas767	Pavarde767	2	8	9	2
Vardas769	Pavarde769	4	4	8	2
Vardas771	Pavarde771	6	6	5	2
Vardas932	Pavarde932	10	1	1	2
Vardas32	Pavarde32	10	5	9	2
Vardas611	Pavarde611	9	4	1	2
Vardas804	Pavarde804	10	2	7	2
Vardas808	Pavarde808	2	9	10	2
Vardas930	Pavarde930	5	1	4	2
Vardas816	Pavarde816	4	5	8	2
Vardas916	Pavarde916	5	3	5	2
Vardas911	Pavarde911	9	9	2	2
Vardas906	Pavarde906	1	7	10	2
Vardas905	Pavarde905	5	8	10	2
Vardas840	Pavarde840	6	8	5	2
Vardas895	Pavarde895	6	5	9	2
Vardas853	Pavarde853	2	3	3	2
Vardas64	Pavarde64	8	3	8	2
Vardas61	Pavarde61	1	6	7	2
Vardas889	Pavarde889	6	6	4	2
Vardas980	Pavarde980	1	2	9	2
Vardas983	Pavarde983	3	7	4	2
Vardas628	Pavarde628	8	2	3	2
Vardas137	Pavarde137	6	8	9	2
Vardas636	Pavarde636	8	4	6	2
Vardas612	Pavarde612	7	3	8	2
Vardas647	Pavarde647	3	7	8	2
Vardas651	Pavarde651	10	4	5	2
Vardas657	Pavarde657	5	4	3	2
Vardas979	Pavarde979	10	3	2	2
Vardas15	Pavarde15	6	4	4	2
Vardas151	Pavarde151	4	9	2	2
Vardas700	Pavarde700	4	9	7	2
Vardas954	Pavarde954	8	8	8	2
Vardas117	Pavarde117	2	4	5	2
Vardas698	Pavarde698	10	5	7	2
Vardas970	Pavarde970	6	8	9	2
Vardas996	Pavarde996	7	2	4	2
Vardas428	Pavarde428	2	2	8	3
Vardas993	Pavarde993	6	4	9	3
Vardas891	Pavarde891	7	9	5	3
Vardas501	Pavarde501	1	2	3	3
Vardas295	Pavarde295	3	1	8	3
Vardas902	Pavarde902	5	3	10	3
Vardas881	Pavarde881	9	6	1	3
Vardas423	Pavarde423	2	10	4	3
Vardas399	Pavarde399	7	3	8	3
Vardas427	Pavarde427	1	5	9	3
Vardas299	Pavarde299	1	1	10	3
Vardas402	Pavarde402	4	2	3	3
Vardas988	Pavarde988	1	3	3	3
Vardas981	Pavarde981	6	6	8	3
Vardas942	Pavarde942	2	2	5	3
Vardas344	Pavarde344	3	10	8	3
Vardas357	Pavarde357	6	6	4	3
Vardas957	Pavarde957	3	7	4	3
Vardas935	Pavarde935	2	8	10	3
Vardas325	Pavarde325	1	8	8	3
Vardas933	Pavarde933	3	1	5	3
Vardas317	Pavarde317	5	2	9	3
Vardas308	Pavarde308	2	1	7	3
Vardas312	Pavarde312	1	10	5	3
Vardas381	Pavarde381	1	5	8	3
Vardas383	Pavarde383	7	9	4	3
Vardas389	Pavarde389	4	5	1	3
Vardas982	Pavarde982	9	7	10	3
Vardas931	Pavarde931	6	7	1	3
Vardas929	Pavarde929	2	7	6	3
Vardas922	Pavarde922	9	6	4	3
Vardas546	Pavarde546	4	7	5	3
Vardas726	Pavarde726	7	3	1	3
Vardas722	Pavarde722	7	10	5	3
Vardas717	Pavarde717	5	9	7	3
Vardas709	Pavarde709	9	7	10	3
Vardas527	Pavarde527	6	7	8	3
Vardas531	Pavarde531	5	3	1	3
Vardas537	Pavarde537	8	5	1	3
Vardas538	Pavarde538	1	1	8	3
Vardas684	Pavarde684	8	6	7	3
Vardas680	Pavarde680	9	2	7	3
Vardas676	Pavarde676	5	2	10	3
Vardas669	Pavarde669	8	5	3	3
Vardas727	Pavarde727	8	7	2	3
Vardas664	Pavarde664	10	8	4	3
Vardas550	Pavarde550	1	3	5	3
Vardas653	Pavarde653	3	7	2	3
Vardas639	Pavarde639	7	6	8	3
Vardas622	Pavarde622	1	2	9	3
Vardas620	Pavarde620	1	4	4	3
Vardas617	Pavarde617	9	2	10	3
Vardas616	Pavarde616	1	10	7	3
Vardas583	Pavarde583	2	7	5	3
Vardas592	Pavarde592	10	9	7	3
Vardas594	Pavarde594	10	1	8	3
Vardas597	Pavarde597	2	2	6	3
Vardas818	Pavarde818	3	7	4	3
Vardas431	Pavarde431	8	7	4	3
Vardas432	Pavarde432	10	6	10	3
Vardas434	Pavarde434	2	6	5	3
Vardas872	Pavarde872	3	7	9	3
Vardas443	Pavarde443	8	10	10	3
Vardas445	Pavarde445	4	10	6	3
Vardas847	Pavarde847	5	5	9	3
Vardas450	Pavarde450	3	9	1	3
Vardas839	Pavarde839	3	4	9	3
Vardas837	Pavarde837	6	6	9	3
Vardas836	Pavarde836	9	1	10	3
Vardas823	Pavarde823	10	8	4	3
Vardas876	Pavarde876	9	4	10	3
Vardas473	Pavarde473	5	9	7	3
Vardas817	Pavarde817	8	2	7	3
Vardas480	Pavarde480	8	4	9	3
Vardas809	Pavarde809	6	3	6	3
Vardas799	Pavarde799	2	7	8	3
Vardas794	Pavarde794	7	8	1	3
Vardas775	Pavarde775	2	1	9	3
Vardas495	Pavarde495	8	10	5	3
Vardas498	Pavarde498	2	6	3	3
Vardas772	Pavarde772	6	7	6	3
Vardas742	Pavarde742	7	7	1	3
Vardas54	Pavarde54	1	1	4	3
Vardas266	Pavarde266	2	4	9	3
Vardas164	Pavarde164	7	8	2	3
Vardas154	Pavarde154	2	5	8	3
Vardas274	Pavarde274	9	8	1	3
Vardas152	Pavarde152	8	8	10	3
Vardas227	Pavarde227	3	9	7	3
Vardas267	Pavarde267	5	5	8	3
Vardas169	Pavarde169	6	3	6	3
Vardas175	Pavarde175	4	7	2	3
Vardas60	Pavarde60	7	8	5	3
Vardas177	Pavarde177	2	7	4	3
Vardas158	Pavarde158	9	9	9	3
Vardas251	Pavarde251	4	1	9	3
Vardas90	Pavarde90	5	5	8	3
Vardas188	Pavarde188	3	5	8	3
Vardas252	Pavarde252	2	10	9	3
Vardas196	Pavarde196	6	9	10	3
Vardas97	Pavarde97	1	9	2	3
Vardas212	Pavarde212	3	4	2	3
Vardas69	Pavarde69	1	4	4	3
Vardas11	Pavarde11	4	2	9	3
Vardas71	Pavarde71	10	8	10	3
Vardas201	Pavarde201	6	6	9	3
Vardas7	Pavarde7	8	7	10	3
Vardas102	Pavarde102	10	2	2	3
Vardas77	Pavarde77	10	5	7	3
Vardas414	Pavarde414	5	3	7	4
Vardas125	Pavarde125	4	9	5	4
Vardas670	Pavarde670	10	5	4	4
Vardas668	Pavarde668	9	9	10	4
Vardas644	Pavarde644	9	8	8	4
Vardas633	Pavarde633	2	2	8	4
Vardas640	Pavarde640	9	9	8	4
Vardas416	Pavarde416	8	10	5	4
Vardas133	Pavarde133	7	8	2	4
Vardas376	Pavarde376	3	3	4	4
Vardas695	Pavarde695	9	4	3	4
Vardas1000	Pavarde1000	7	6	3	4
Vardas740	Pavarde740	10	9	5	4
Vardas378	Pavarde378	8	7	10	4
Vardas734	Pavarde734	1	5	9	4
Vardas382	Pavarde382	10	8	10	4
Vardas384	Pavarde384	10	6	5	4
Vardas719	Pavarde719	8	1	3	4
Vardas250	Pavarde250	2	3	8	4
