Vardas	Pavarde	ND1	ND2	ND3	Egz.
Vardas62785	Pavarde62785	7	2	2	1
Vardas62855	Pavarde62855	5	3	1	1
Vardas62849	Pavarde62849	10	9	2	1
Vardas62839	Pavarde62839	6	6	9	1
Vardas62836	Pavarde62836	10	10	2	1
Vardas62834	Pavarde62834	5	9	4	1
Vardas62821	Pavarde62821	8	3	7	1
Vardas13991	Pavarde13991	9	9	10	1
Vardas62813	Pavarde62813	9	2	6	1
Vardas62804	Pavarde62804	1	7	7	1
Vardas62798	Pavarde62798	6	1	2	1
Vardas62796	Pavarde62796	7	10	7	1
Vardas13997	Pavarde13997	10	7	5	1
Vardas62790	Pavarde62790	5	1	6	1
Vardas62789	Pavarde62789	4	4	1	1
Vardas62865	Pavarde62865	4	10	4	1
Vardas62780	Pavarde62780	3	10	2	1
Vardas14004	Pavarde14004	1	6	3	1
Vardas62761	Pavarde62761	10	9	2	1
Vardas62749	Pavarde62749	1	4	8	1
Vardas62730	Pavarde62730	6	10	6	1
Vardas62718	Pavarde62718	8	1	5	1
Vardas62717	Pavarde62717	1	6	2	1
Vardas14022	Pavarde14022	2	2	5	1
Vardas14023	Pavarde14023	1	5	4	1
Vardas14024	Pavarde14024	8	2	6	1
Vardas14027	Pavarde14027	5	6	3	1
Vardas14029	Pavarde14029	3	2	9	1
Vardas14031	Pavarde14031	10	9	9	1
Vardas13950	Pavarde13950	10	7	4	1
Vardas63015	Pavarde63015	2	2	5	1
Vardas63014	Pavarde63014	6	6	8	1
Vardas63002	Pavarde63002	5	5	10	1
Vardas62995	Pavarde62995	10	10	6	1
Vardas13925	Pavarde13925	9	7	2	1
Vardas62983	Pavarde62983	3	5	10	1
Vardas62979	Pavarde62979	10	5	6	1
Vardas62978	Pavarde62978	1	1	10	1
Vardas62969	Pavarde62969	2	6	6	1
Vardas62959	Pavarde62959	5	1	6	1
Vardas13938	Pavarde13938	1	8	6	1
Vardas62953	Pavarde62953	2	7	8	1
Vardas13947	Pavarde13947	4	10	9	1
Vardas62923	Pavarde62923	5	6	8	1
Vardas14032	Pavarde14032	2	6	10	1
Vardas62920	Pavarde62920	8	10	4	1
Vardas62912	Pavarde62912	7	8	7	1
Vardas13957	Pavarde13957	9	6	3	1
Vardas13958	Pavarde13958	10	6	3	1
Vardas62902	Pavarde62902	1	6	7	1
Vardas13963	Pavarde13963	3	7	6	1
Vardas13964	Pavarde13964	3	6	1	1
Vardas13966	Pavarde13966	5	6	8	1
Vardas62897	Pavarde62897	2	1	2	1
Vardas62894	Pavarde62894	4	8	4	1
Vardas62889	Pavarde62889	3	6	2	1
Vardas62886	Pavarde62886	10	1	1	1
Vardas13975	Pavarde13975	6	5	10	1
Vardas62386	Pavarde62386	1	5	7	1
Vardas62480	Pavarde62480	9	2	4	1
Vardas14118	Pavarde14118	1	8	7	1
Vardas62470	Pavarde62470	8	7	8	1
Vardas14121	Pavarde14121	3	2	7	1
Vardas62468	Pavarde62468	1	7	9	1
Vardas62463	Pavarde62463	5	4	5	1
Vardas62426	Pavarde62426	2	10	8	1
Vardas14136	Pavarde14136	7	8	10	1
